modelo,segmento,lead_minutes,n,MAE,RMSE,R2,MAPE (%),sMAPE (%),Bias,NSE,modelo_label,familia,source,model_order
GradientBoosting_ARX,global,10,10688,0.0111562673009126,0.0660598318783811,0.9518568840547512,2.543525441523692,2.5673456443279585,-0.0051806001861601,0.9518568840547512,Gradient Boosting-ARX,ML no lineal ARX,23_gradient_boosting_arx,2
ARIMA_selected,global,10,10688,0.0068282258772675,0.0427843437801503,0.9798056900451368,1.924670782412994,1.980412253171356,-0.0029701893843382,0.9798056900451368,ARIMA,Estadistico,17_arima_sarimax_baselines,3
SARIMAX_lagged_exog_selected,global,10,10688,0.0070007019608724,0.0408423588732905,0.9815973273258538,1.97578080682358,2.0206928729947222,-0.0025039237582547,0.9815973273258538,SARIMAX,Estadistico con exogenas,17_arima_sarimax_baselines,4
NBEATS,global,10,10688,0.0363102344266094,0.0687053383721267,0.9479236864725552,22.1413252518874,27.341087962786027,-0.0265247669133325,0.9479236864725552,N-BEATS,Deep learning,15_finales,5
LSTM,global,10,10688,0.0073928512508505,0.0402950157678841,0.9820872639104534,2.1582089446228867,2.1071429528751597,0.0010191282207418,0.9820872639104534,LSTM,Deep learning recurrente,22_lstm_vs_modelos,6
Persistencia,global,20,10688,0.0135115541734049,0.0906094989401469,0.9094264882424176,2.563911518565264,2.67383363190306,-1.7840745630970428e-05,0.9094264882424176,Persistencia,Baseline ingenuo,15_finales,0
Ridge_ARX_local,global,20,10688,0.0131269880798486,0.0672879803793608,0.9500507771209,3.2502807313308115,3.207106166907055,0.0006119935741509,0.9500507771209,Ridge-ARX,ML lineal ARX,15_finales,1
GradientBoosting_ARX,global,20,10688,0.015952584857543,0.0819754848183976,0.9258652654574672,3.5928689787284678,3.6290154447329774,-0.0086531023388059,0.9258652654574672,Gradient Boosting-ARX,ML no lineal ARX,23_gradient_boosting_arx,2
ARIMA_selected,global,20,10688,0.0140445987305012,0.0802230424573047,0.929001036883336,3.2835782952987,3.4411633599115548,-0.007184518114269,0.929001036883336,ARIMA,Estadistico,17_arima_sarimax_baselines,3
SARIMAX_lagged_exog_selected,global,20,10688,0.0135020151786748,0.0745771294356622,0.938642864687038,3.22221133806934,3.3630068825198296,-0.0054334961180642,0.938642864687038,SARIMAX,Estadistico con exogenas,17_arima_sarimax_baselines,4
NBEATS,global,20,10688,0.0296037832762099,0.0740291490897559,0.9395412360295944,15.01871107172336,13.438995723274926,0.0209616702142091,0.9395412360295944,N-BEATS,Deep learning,15_finales,5
LSTM,global,20,10688,0.0112550453581787,0.0602039563786952,0.960014381885475,3.4339969153865555,3.307080414848207,-0.0002087374773154,0.960014381885475,LSTM,Deep learning recurrente,22_lstm_vs_modelos,6
Persistencia,global,30,10688,0.0191031939479523,0.1215838209409534,0.836920243947923,3.4881173875384524,3.617801202690619,-2.6827367966139176e-05,0.836920243947923,Persistencia,Baseline ingenuo,15_finales,0
Ridge_ARX_local,global,30,10688,0.0188870115116136,0.0920608608966973,0.9065028136531474,4.621109857537196,4.511245928300887,0.0006590034031168,0.9065028136531474,Ridge-ARX,ML lineal ARX,15_finales,1
GradientBoosting_ARX,global,30,10688,0.0196530390360525,0.0976834209521752,0.8947334961863361,4.470139743235811,4.531591238873693,-0.011481180703128,0.8947334961863361,Gradient Boosting-ARX,ML no lineal ARX,23_gradient_boosting_arx,2
ARIMA_selected,global,30,10688,0.0211187807312694,0.1107737395188945,0.8646300988202462,4.71627199580966,4.988860410780893,-0.0116829988584915,0.8646300988202462,ARIMA,Estadistico,17_arima_sarimax_baselines,3
SARIMAX_lagged_exog_selected,global,30,10688,0.0197158387545009,0.1046213742553885,0.8792493940500787,4.483904935994611,4.721804867588557,-0.008173663599585,0.8792493940500787,SARIMAX,Estadistico con exogenas,17_arima_sarimax_baselines,4
NBEATS,global,30,10688,0.0176060266896006,0.0938993375591473,0.9027312052011928,4.587693949347791,4.448884644160646,-0.0009748016809357,0.9027312052011928,N-BEATS,Deep learning,15_finales,5
LSTM,global,30,10688,0.0160516169159913,0.0774894133564044,0.9337580323824408,5.0757167991830565,4.921755151333121,-0.0035000222024,0.9337580323824408,LSTM,Deep learning recurrente,22_lstm_vs_modelos,6
